Name,Tagline,Phone,Profile Link,Email,Website,Address,City,Postcode,Tier,NAICS Info,Social Media Links
"Aloha Xpress Medical, LLC",Tier 1 Local Emerging Small Business,,,,,4510 S Eastern Ave ste 9,Las Vegas,89119,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '621511', 'Description': 'Medical Laboratories', 'Capability': ''}]",[]
Olympus Lighting LLC,Tier 1 Local Emerging Small Business,,,accounting@olympuslighting.com,https://www.olympuslighting.com,5725 S. Valley View Blvd. Suite 7,Las Vegas,89118,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '423220', 'Description': 'Lamps Merchant Wholesalers', 'Capability': ''}]",[]
"JKW Consulting, LLC",Tier 1 Local Emerging Small Business,,,,https://techsmartlv.com,4045 S. Buffalo Drive Suite A101-263,Las Vegas,89147,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '236118', 'Description': 'Residential Remodelers', 'Capability': 'SmartHome Tech'}]",[]
HyMAX Development Corporation,Tier 1 Local Emerging Small Business,,,d.daye@hymaxdevcorp.com,https://www.hymaxdevcorp.com,3111 S Valley View Blvd Ste B212,Las Vegas,89102,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541519', 'Description': 'Other Computer Related Services', 'Capability': 'desktops, workstations, laptops, servers, high performance systems, netbooks, pico/single-board systems'}]",[]
Queendom Cultivation LLC,Tier 2 Local Emerging Small Business,,,jazz@queendomcultivation.com,https://queendomcultivation.com,"8450 West Sahara Avenue, suite 109-110",Las Vegas,89117,Tier 2 Local Emerging Small Business,"[{'NAICS Code': '459999', 'Description': 'Miscellaneous Retailer', 'Capability': 'Retail/E-commerce'}]",[]
MarPhil LLC,Tier 1 Local Emerging Small Business,,,phillip@marphil.us,https://marphil.us,10460 Ashlar Point Way,Las Vegas,89135,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541511', 'Description': 'Custom Computer Programming Services', 'Capability': ''}]",[]
"Copperhead Electric, LLC",Tier 1 Local Emerging Small Business,,,traci@copperheadelectricnv.com,,2705 Langlade Ave,Henderson,89052,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '238210', 'Description': 'Electrical & Wiring', 'Capability': '$300,000'}]",[]
Common Nomad,Tier 1 Local Emerging Small Business,,,,,9450 W Hacienda Ave,Las vegas,89148,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541611', 'Description': 'Strategic planning consulting services', 'Capability': 'campaign planning'}]",[]
EVERGREEN CO. LLC,Tier 1 Local Emerging Small Business,,,lawnservicesevergreen@gmail.com,https://www.evergreenlawnservices20.com,500 N. RAINBOW BLVD SUITE # 300,LAS VEGAS,89107,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561730', 'Description': 'Landscape maintenance and cleanup', 'Capability': 'Focus on providing landscape services for commercial and residential properties.'}]",[]
HeavyFoot Weight LLC.,Tier 1 Local Emerging Small Business,,,,https://heavyfootweight.com/,11564 Anthem Dr.,Sparks,89441,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '332510', 'Description': 'Hardware Manufacturing', 'Capability': 'Anchoring service'}]",[]
USA Doors,Tier 1 Local Emerging Small Business,,,,https://www.usadoorslv.com,10080 Placid St,Las Vegas,89183,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '238000', 'Description': 'Specialty Contractor', 'Capability': ''}]",[]
"BRAND Architecture, LLP",tier_one,,,brian.miller@brand-archlv.com,https://www.brand-archlv.com,9661 Bella Citta St,Las Vegas,89178,tier_one,"[{'NAICS Code': '541310', 'Description': 'Architectural Services', 'Capability': 'Building architectural design services'}]",[]
"Ascenditure, Ltd.",Tier 1 Local Emerging Small Business,,,chris@ascenditure.co,https://www.ascenditure.co/,300 W. Arroyo St.,Reno,89509,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541613', 'Description': 'Marketing Consulting Services', 'Capability': 'Ascenditure provides full digital marketing and advertising capabilities. We are certified in all the major advertising platforms, as well as CRM platforms like HubSpot.'}]",[]
"ASL Training, LLC",Tier 1 Local Emerging Small Business,,,f.cafferata@asltraining.com,https://www.asltraining.com,"760 Mays Blvd, 15-D",Incline Village,89451,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '611430', 'Description': 'Continuing education online learning marketplace services (through a website or mobile application)', 'Capability': 'Online courses'}]",[]
"Graphix Gearwerks, LLC",Tier 1 Local Emerging Small Business,,,info@ggwerks.com,https://www.ggwerks.com,"4310 Losee Road, Suite 9",North Las Vegas,89030,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541850', 'Description': 'Outdoor Advertising', 'Capability': 'Printing and Vinyl Installation'}]",[]
"Uprise, LLC",Tier 1 Local Emerging Small Business,,,info@uprisefiber.com,https://uprisefiber.com,1150 Matley Lane,Reno,89502,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '51711', 'Description': 'Internet Service Provider', 'Capability': 'Fiber Internet Design, Construction, Operations.'}]",[]
Travis Fosse LLC,Tier 1 Local Emerging Small Business,,,,https://Vegaslife702.com,8319 Rockefeller Street,Las Vegas,89123,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '322230', 'Description': 'Office supplies, die-cut paper, made from purchased paper or paperboard', 'Capability': ''}]",[]
LEE MAJOR & ASSOCIATES LTD,Tier 1 Local Emerging Small Business,,,HELPME@INCOMETAXANDNOTARY.COM,https://INCOMETAXANDNOTARY.COM,4100 W FLAMINGO ROAD UNIT 1442,LAS VEGAS,89103,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541213', 'Description': 'TAX PREPARATION  SERVICES', 'Capability': 'INCOME TAX AND BOOKKEEPING'}]",[]
The Empowerment Agency LLC,Tier 1 Local Emerging Small Business,,,,https://theempowermentagency.org,6812 Via Locanda Ave,Las Vegas,89131,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541611', 'Description': 'Administrative Management and General Management Consulting Services', 'Capability': 'Grant Writing and Strategic Planning'}]",[]
"IMI-NV Management, LLC",Tier 1 Local Emerging Small Business,,,info@inmyimagetherapeutics.com,https://www.inmyimagetherapeutics.com,303 S Water St. Suite 200,Henderson,89015,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561110', 'Description': 'Office Administrative Services', 'Capability': ''}]",[]
"Sunpoint Specialties, LLC",Tier 1 Local Emerging Small Business,,,,https://www.sunpointspecialtiesllc.com,"3060 N Nellis Blvd., Suite 15",Las Vegas,89115,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '238390', 'Description': 'Other Building Finishing Contractors', 'Capability': 'Toilet Partitions and Toilet Accessories, Wall Protection, Fire Extinguisher & Cabinets, Lockers, Cubicle Curtain and Track, Visual Display Boards, Misc Specialties'}]",[]
"Hazel Consulting, LLC",Tier 1 Local Emerging Small Business,,,,,148 Snake Rd,Dayton,89403,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541512', 'Description': 'Computer Systems Design Services', 'Capability': 'Quality Assurance, Data Conversion, Project Management'}]",[]
The Speech School LLC,Tier 1 Local Emerging Small Business,,,christine@thespeechschool.com,https://www.thespeechschool.com,2545 S. Torrey Pines Drive unit B,Las Vegas,89146,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '621340', 'Description': 'Offices of Physical, Occupational and Speech Therapists, and Audiologists', 'Capability': 'Speech Therapy'}]",[]
Providers International 702 LLC,Tier 1 Local Emerging Small Business,,,,https://www.providers-international.com,3475 W. Ford Ave,Las Vegas,89139,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561612', 'Description': 'Security Guards and Patrol Services', 'Capability': 'Unarmed and armed site security'}]",[]
CPS Tech Inc.,Tier 1 Local Emerging Small Business,,,jenn@cpspcb.com,https://cpspcb.com,7345 S Durango Dr Bldg B 107,Las Vegas,89113,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '334412', 'Description': 'Bare Printed Circuit Board Manufacturing', 'Capability': ''}]",[]
Mazao Consultancy Agency L.L.C.,Tier 1 Local Emerging Small Business,,,mazaoca.us@gmail.com,,5150 Mae Anne Ave STE 405,Reno,89523,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541611', 'Description': 'Administrative Management and General Management Consulting Services', 'Capability': ''}]",[]
Periwinkle Group,Tier 1 Local Emerging Small Business,,,info@periwinklegroup.com,https://www.periwinklegroup.com,"2755 E Desert Inn Rd, Unit 155",Las Vegas,89121,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541613', 'Description': 'Marketing Consulting Services', 'Capability': 'Marketing, Public Relations Advertising'}]",[]
Hagerty Forestry Management LLC,Tier 1 Local Emerging Small Business,,,contact@hagertyforestry.com,https://hagertyforestry.com,7681 RHYTHM CIR,SPARKS,89436,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '115310', 'Description': 'Support Activities of Forestry', 'Capability': 'Tree trimming, timber falling, defensible space, mastication, land clearing, fire cleanup'}]",[]
REPLEC Document & Digital Solutions,Tier 1 Local Emerging Small Business,,,cecilia@replec.com,https://www.replec.com,330 East Charleston Blvd. Suite 201A,Las Vegas,89104,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561439', 'Description': 'Other Business Service Centers (including Copy Shops)', 'Capability': 'Photocopying and Duplicating Services'}]",[]
"NEVCAS, LLC",Tier 1 Local Emerging Small Business,,,acast@nevcas.com,,811 CRABAPPLE DR,Henderson,89002,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '339920', 'Description': 'Sports and Recreational Equipment', 'Capability': 'Provide various sports and recreational equipment to government agencies according to relevant solicitations.'}]",[]
MoonFyre Professional Services LLC,Tier 1 Local Emerging Small Business,,,cdickstein@moonfyre.net,https://moonfyre.net/,7416 Hawk Shadow Ave.,Las Vegas,89113,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561320', 'Description': 'Temporary Help Services', 'Capability': ''}]",[]
Gordian Imports LLC,Tier 1 Local Emerging Small Business,,,,,671 Patti Ann Woods Drive,Henderson,89002,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '425120', 'Description': 'Wholesale Trade Agents & Brokers', 'Capability': 'Focused on military and law enforcement equipment, including ammunition, night vision gear, body armor, and medical supplies.'}]",[]
RSD Nevada LLC,Tier 1 Local Emerging Small Business,,,readysetdisinfect@outlook.com,https://www.readysetdisinfect.com,304 S Jones Blvd #3249,Las Vegas,89107,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561720', 'Description': 'Disinfecting Services', 'Capability': 'From Small to Large Buildings'}]",[]
"Southern Desert Construction and Supply, LLC",Tier 1 Local Emerging Small Business,,,william@sdcsus.com,https://www.sdcsus.com,4071 Russian Rider Drive,Las Vegas,89122,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '423610', 'Description': 'Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers', 'Capability': 'Construction materials, electrical, merchant wholesalers'}]",[]
Big Fairy Tales LLC,Tier 1 Local Emerging Small Business,,,Hi@BigFairyTales.com,https://BigFairyTales.com,"8400 W. Sunset Rd., Ste. 300",Las Vegas,89113,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '453210', 'Description': 'Office Supplies and Educational Supplies Retailer', 'Capability': 'Office Supplies and Educational Supplies Retailer'}]",[]
Kodagenix,Tier 1 Local Emerging Small Business,,,sharab.ahmad@kodagenix.com,https://Kodagenix.com,1609 Freeport Blvd,Sparks,89431,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '325412', 'Description': 'Pharmaceutical Preparation Manufacturing', 'Capability': 'sports and health supplement manufacturing'}]",[]
"Solidarity Mental Health Services, LLC",Tier 1 Local Emerging Small Business,,,solidaritymentalhealth@gmail.com,https://Solidaritymentalhealthservices.com (in development),505 S. Arlington Ave Ste 203,Reno,89509-1504,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '621112', 'Description': 'Offices of Physicians, Mental Health Specialists', 'Capability': 'Psychiatric mental health services'}]",[]
Moody’s Auto Glass LLC,Tier 1 Local Emerging Small Business,,,,,7625 Moore Creek ln,North Las Vegas,89084,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '811111', 'Description': 'General Automotive Repair', 'Capability': 'Mobile automotive and truck repair services'}]",[]
"Total Land Solutions, LLC",Tier 2 Local Emerging Small Business,,,contactus@cleangreenlandscapelv.com,https://cleangreenlandscapelv.com/,3526 E Patrick Ln,Las Vegas,89120,Tier 2 Local Emerging Small Business,"[{'NAICS Code': '561730', 'Description': 'Landscaping Services', 'Capability': 'Installing Pavers, Turf, Rock, Demo, Maintaining landscapes'}]",[]
HAUTLAW LLC,Tier 2 Local Emerging Small Business,,,,https://www.vegasthrills.com,250 S. Moapa Valley Blvd.,Overton,89040,Tier 2 Local Emerging Small Business,"[{'NAICS Code': '441227', 'Description': 'ATV Rentals', 'Capability': 'ATV and Recreation Vehicles'}]",[]
Devra Wexler,Tier 1 Local Emerging Small Business,,,exhibitsengage@gmail.com,https://(not yet launched) www.exhibitsengage.com,8925 Chipshot Trail,Reno,89523,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '711510', 'Description': 'Independent Artists, Writers, and Performers', 'Capability': 'This industry comprises independent (i.e., freelance) individuals primarily engaged in performing in artistic productions, in creating artistic and cultural works or productions, or in providing technical expertise necessary for these productions.  Illustrative Examples: Ghost writers, independent Writers, independent (freelance) Independent museum exhibit designers. Writing and editing interpretive content for zoos, aquariums, and botanical gardens. This can include developing interpretive content for state and local parks, nature centers, etc.'}]",[]
"Best in the West Safety, Inc.",Tier 1 Local Emerging Small Business,,,dhale@biwsafety.com,https://www.BIWSafety.com,820 S. Valley View Blvd,Las Vegas,89107,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541620', 'Description': 'Environmental Consulting Services', 'Capability': 'Professional environmental  services'}]",[]
"IDEATE Collaborative, LLC",Tier 1 Local Emerging Small Business,,,tracy@ideatecollaborative.com,https://www.ideatecollaborative.com,6275 Katella Ave,Las Vegas,89118,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '611430', 'Description': 'Education Services', 'Capability': 'Diversity and Inclusion Training and Development'}]",[]
"LANGE PLUMBING, LLC",Tier 2 Local Emerging Small Business,,,service@langeplumbing.com,https://www.langeplumbing.com,"7121 W. Craig Rd, SUITE 113-312",Las Vegas,89129,Tier 2 Local Emerging Small Business,"[{'NAICS Code': '238220', 'Description': 'Plumbing, Heating, and Air-Conditioning Contractors', 'Capability': 'Commercial and Residential Plumbing and Fire Sprinklers'}]",[]
True Peace Therapy Services LLC,Tier 1 Local Emerging Small Business,,,hello@truepeacetherapy.com,https://www.truepeacetherapy.com,1180 N Town Center Dr Suite 100,Las Vegas,89144,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '621420', 'Description': 'Mental Health Centers and Clinics, Outpatient', 'Capability': ''}]",[]
Double A Investments LLC,Tier 1 Local Emerging Small Business,,,henderson@optic-kleer.com,https://optic-kleer.com/henderson,7031 Misty Shore St.,North Las Vegas,89086,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '811122', 'Description': 'Automotive Glass Replacement Shops', 'Capability': 'Mobile Automotive Glass repair & replacement w ADAS Calibrations.'}]",[]
Richardson Wetzel Architects LLC,Tier 1 Local Emerging Small Business,,,hello@rwa-design.com,https://www.rwa-design.com,4300 E. Sunset Road,Henderson,89014,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541310', 'Description': 'Architectural Services', 'Capability': ''}]",[]
GYC Vegas LLC,Tier 1 Local Emerging Small Business,,,info@gycvegas.com,https://gycvegas.com,1346 Tempo St.,Henderson,89052,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541820', 'Description': 'Public Relations Agencies', 'Capability': ''}]",[]
"BeezleBug Bit, LLC",Tier 1 Local Emerging Small Business,,,,http://lee-lanier-paints.com,"107 E. Charleston Blvd, #160",Las Vegas,89104,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '711510', 'Description': 'Independent Artists, Writers, and Performers', 'Capability': 'Portrait and mural painting'}]",[]
Total Promotion Company,Tier 1 Local Emerging Small Business,,,sales@thetpc.us,https://www.totalpromotioncompany.com,520 W Sunset Rd #12,Henderson,89011,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '323113', 'Description': 'Commercial Screen Printing', 'Capability': ''}]",[]
TechCity Electric LLC,Tier 1 Local Emerging Small Business,,,info@techcityelectric.com,https://techcityelectric.com,880 Cottonwood LN,Fernley,89408,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '238210', 'Description': 'Electrical Contractors and Other Wiring Installation Contractors', 'Capability': 'Electrical Contracting - industrial, commercial, residential electrical'}]",[]
"The Leading Edge Group, Inc.",Tier 1 Local Emerging Small Business,,,,https://www.tleconsult.com,"10624 s eastern ave, ste a 377",HENDERSON,89052-2982,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541720', 'Description': 'Research and Development in the Social Sciences and Humanities', 'Capability': 'Research and Evaluation, Data'}]",[]
"American Project Management, LLC",Tier 1 Local Emerging Small Business,,,,https://www.apmlasvegas.com,"923 Serena Veneda Lane Las Vegas, NV 89138",,,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541990', 'Description': 'All Other Professional Scientific & Technical Services', 'Capability': 'Scheduling Consulting'}]",[]
Victory Drywall LLC,Tier 1 Local Emerging Small Business,,,gbrowndine@yahoo.com,https://victorydrywallnv.com,2770 Beach River Dr.,Reno,89521,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '238310', 'Description': 'Drywall Contractor', 'Capability': ''}]",[]
BeeNBeesRus LLC,Tier 1 Local Emerging Small Business,,,Rush@beenbeesrus.com,,1810 E Sahara Ave STE 212 #2638,Las Vegas,89104,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '531390', 'Description': 'Other Activities Related to Real Estate', 'Capability': 'REO services, property preservation, renovation/rehabilitation also Inspection, Grass/Shrubs, Snow Remove, Winterization, Lock Change, Maid Service, Trash Out, Lawn Care, Landscaping'}]",[]
DC Randall Corporation,Tier 1 Local Emerging Small Business,,,drandall@dcrandallcorporation.biz,,551 White Eagle Lane,Fernley,89408,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '238210', 'Description': 'Electrical Contractors', 'Capability': 'Big R/Scheel Construction'}]",[]
MWH Geo-Surveys International Inc.,Tier 2 Local Emerging Small Business,,,,https://www.mwhgeo.com,"50 W Liberty St, Suite 880",Reno,89501,Tier 2 Local Emerging Small Business,"[{'NAICS Code': '541360', 'Description': 'Geophysical Surveying and Mapping Services', 'Capability': ''}]",[]
Emploi LLC,Tier 1 Local Emerging Small Business,,,support@emploi.agency,https://www.emploi.agency,400 S 4th St. Suite 500,Las Vegas,89101,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '488510', 'Description': 'Freight Transportation Arrangement', 'Capability': 'Freight Services'}]",[]
Norris Mcdonald,Tier 1 Local Emerging Small Business,,,thegardenerway@gmail.com,,3141 Plum wood LN,N Las Vegas,89030,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561730', 'Description': 'Landscaping services', 'Capability': ''}]",[]
Advance Consulting Solutions Group LLC,Tier 2 Local Emerging Small Business,,,,https://advancedconsultingsolutions.com/,3330 W. Desert Inn Road,Las Vegas,89102,Tier 2 Local Emerging Small Business,"[{'NAICS Code': '54133', 'Description': 'Engineering Services', 'Capability': 'Fire Protection Engineering Consulting'}]",[]
Legaci Cleaners LLC,Tier 1 Local Emerging Small Business,,,Legacicleaners@gmail.com,,2921 Moretta Court,North Las Vegas,89086,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561720', 'Description': 'Janitorial Services', 'Capability': 'Janitorial cleaning'}]",[]
JL DIGITAL LLC.,Tier 1 Local Emerging Small Business,,,SUPPORT@JANDLDIGITAL.COM,https://jandldigital.com,35 N. EDISON WAY #45,RENO,89502,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '238210', 'Description': 'Electrical Contractors and Other Wiring Installation Contractors', 'Capability': 'LED Video Walls, Structured Cabling, Fiber optic cable contractor'}]",[]
Nano Kai,Tier 1 Local Emerging Small Business,,,shaun.kama@nanokaihawaii.com,https://www.nanokaihawaii.com,2121 E Flamingo Suite 214,Paradise,89199,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '621511', 'Description': 'Medical Laboratories', 'Capability': 'Healthcare testing and concierge service'}]",[]
Valarie Aguirre,Tier 1 Local Emerging Small Business,,,thebookandthebean@gmail.com,https://www.bookandthebean.com,3058 Silent Wind Way,Henderson,89052,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '454111', 'Description': 'Internet retail sales sites', 'Capability': 'Retail sales of New books, stationary, puzzles etc.'}]",[]
iCoach,Tier 1 Local Emerging Small Business,,,icoachu4success@outlook.com,https://icoachu4successcom,"1000 Painted Peak Way,",Las Vegas,89108,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541611', 'Description': 'Administrative Management and General Management Consulting Services', 'Capability': 'Management Consulting Services'}]",[]
"All Vegas Services, LLC",Tier 1 Local Emerging Small Business,,,info@allvegasservices.com,https://allvegasservices.com,9346 Fender Ct,Las Vegas,89149,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561720', 'Description': 'Janitorial Services', 'Capability': 'Building cleaning services, interior'}]",[]
CH GLOBAL SOLUTIONS LLC,Tier 1 Local Emerging Small Business,,,info@chglobalsolutions.com,https://www.chglobalsolutions.com,11000 S. EASTERN AVE #1227,HENDERSON,89052,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '721110', 'Description': 'Hotels (except Casino Hotels) and Motels', 'Capability': 'Lodging'}]",[]
Dunk Zone,Tier 1 Local Emerging Small Business,,,dunk-zone@outlook.com,https://www.dunkzone.com,1000 Painted Peak Way,Las Vegas,89108,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '713990', 'Description': 'All Other Amusement and Recreation Industries', 'Capability': ''}]",[]
Prestige Flooring LLC,Tier 1 Local Emerging Small Business,,,prestigeflooringnv@gmail.com,,6370 Coral Flower Ct,Las Vegas,89141,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '238340', 'Description': 'Tile and Terrazzo Contractors', 'Capability': ''}]",[]
Grand Event Rental LLC,Tier 1 Local Emerging Small Business,,,Support@GrandEventRental.com,https://www.GrandEventRental.com,"6815 Sierra Center Parkway, Suite 450",Reno,89511,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '532289', 'Description': 'All Other Consumer Goods Rental', 'Capability': 'Tent Shelter, Table, Chair, Portable heat and Air Conditioning'}]",[]
Ideal Floors & Cabinets LLC,Tier 1 Local Emerging Small Business,,,sam@idealfloorscabinets.com,,4275 N Rancho Drive,Las Vegas,89130,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '238330', 'Description': 'Flooring Contractors', 'Capability': ''}]",[]
PAC ARMED LLC,Tier 1 Local Emerging Small Business,,,a.nepo@pacarmed.com,,5940 S Rainbow Blvd,las vegas,89118,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561612', 'Description': 'Security Guards and Patrol Services', 'Capability': 'security services'}]",[]
Sin City Snacks Vending LLC,Tier 1 Local Emerging Small Business,,,Fred@VegasHV.com,,5381 LINDERO Place,Las Vegas,89119,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '445132', 'Description': 'Vending Machine Operators', 'Capability': ''}]",[]
Warp 10 Labs LLC,Tier 1 Local Emerging Small Business,,,childers@fastestlabs.com,https://www.fastestlabs.com/ne-las-vegas/,4375 Las Vegas Blvd N Suite 9,Las Vegas,89115,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '621999', 'Description': 'All Other Miscellaneous Ambulatory Health Care Services', 'Capability': 'Drug Testing Services'}]",[]
"QMS Construction, Inc.",Tier 1 Local Emerging Small Business,,,,,"633 S. 4th St., Ste # 4",Las Vegas,89101,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '236220', 'Description': 'Commercial and Institutional Building Construction', 'Capability': 'General Construction, Tenant Improvements, Renovations, etc.'}]",[]
KPF Enterprises LLC,Tier 1 Local Emerging Small Business,,,Kenny@KPFenterprises.com,https://www.KPFenterprises.com,29 Desert Dawn Lane,Henderson,89074,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561720', 'Description': 'Building cleaning services, interior', 'Capability': 'Residential and Commercial Cleaning'}]",[]
Beem Constructors LLC,Tier 1 Local Emerging Small Business,,,,https://www.beemconstructors.com,3420 Regent Diamond Ave,Las Vegas,89106-1358,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '237990', 'Description': 'Other Heavy and Civil Engineering Construction', 'Capability': 'Heavy and Civil Engineering Construction'}]",[]
"SLS LOGISTICS, LLC",Tier 1 Local Emerging Small Business,,,contact@slslogisticsllc.com,https://www.slslogisticsllc.com,8977 SAGEMOOR DR,RENO,89506,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '488510', 'Description': 'Freight Transportation Arrangement', 'Capability': 'Freight Brokerage'}]",[]
Hozhonigo Consulting LLC,Tier 1 Local Emerging Small Business,,,,https://www.hozhonigo.com,9940 Savannah Marie Ave,Las Vegas,89149,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561410', 'Description': 'Document Preparation Services', 'Capability': 'Grant Writing'}]",[]
"Clean Energy Vehicle Recreation Association, Inc.",Tier 1 Local Emerging Small Business,,,,https://cevra.org,1650 Mount Hood St,Las Vegas,89156,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '519290', 'Description': 'Web Search Portals and All Other Information Services', 'Capability': 'industry directory information service'}]",[]
"Practical Project Management, LLC",Tier 1 Local Emerging Small Business,,,matthew@practicalprojectmanagement.com,https://www.practicalprojectmanagement.com/,4550 Lynnfield Ct,Reno,89519,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541611', 'Description': 'Administrative Management and General Management Consulting', 'Capability': ''}]",[]
Desert Wind Cleaning LLC,Tier 1 Local Emerging Small Business,,,info@desertwindcleaning.com,https://desertwindcleaning.com,7848 W Sahara Ave,Las Vegas,89117,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561720', 'Description': 'Janitorial Services', 'Capability': 'Building cleaning services, janitorial'}]",[]
Bric X Bric Production,Tier 1 Local Emerging Small Business,,,bricxbric@gmail.com,,1038 S Main Street,Las Vegas,89101,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '512290', 'Description': 'Other Sound Recording Industries', 'Capability': ''}]",[]
Fuselogix L.L.C.,Tier 1 Local Emerging Small Business,,,support@fuselogix.com,https://www.fuselogix.com,"1180 N. Town Center Dr., Suite 100",Las Vegas,89144,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541519', 'Description': 'Other Computer Related Services', 'Capability': ''}]",[]
"Facilities Management, Inc",Tier 2 Local Emerging Small Business,,,,,3005 Old US Hwy 395N,Washoe Valley,89704,Tier 2 Local Emerging Small Business,"[{'NAICS Code': '236220', 'Description': 'Commercial and Institutional Building Construction', 'Capability': 'Public Works'}]",[]
The Trucking Agency LLC,Tier 1 Local Emerging Small Business,,,sheilascott-wallace@thetruckingagency.onmicrosoft.com,https://thetruckingagency.net,1050 Via Di Olivia St,Henderson,89011,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '484220', 'Description': 'Dump trucking (e.g., gravel, sand, top-soil)', 'Capability': ''}]",[]
Magnolia Catering Company LLC,Tier 1 Local Emerging Small Business,,,Chefshelia@icloud.com,https://Www.magnoliacatering.com,4473 vicobello ave,Las vegas,89141,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '722320', 'Description': 'Caterers', 'Capability': '70'}]",[]
SkyFly Industries LLC,Tier 1 Local Emerging Small Business,,,damien.white@skyflyindustriesllc.com,https://www.skyflyindustriesllc.com/,10409 PACIFIC PALISADES AVE,Las Vegas,89144,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '424210', 'Description': 'Wholesalers', 'Capability': 'Quality Control: Wholesalers must ensure that the products they sell meet quality standards. This involves inspecting goods for defects, testing products, and verifying compliance with industry regulations.'}]",[]
